"subgroup","RD","SE","ci.lb","ci.ub","z","P-value","int_Pval","Y","V"
"0",0.1136,0.0668,-0.0173,0.2445,1.7015,0.0889,0.00132152794274974,"t3_ratio_il12_il4","diar7d_t2"
"1",0.1598,0.07,0.0226,0.2971,2.2827,0.0224,NA,"t3_ratio_il12_il4","diar7d_t2"
"0",0.1576,0.0729,0.0147,0.3005,2.1616,0.0307,0.00213466760749649,"t3_ratio_il12_il4","diar7d_t3"
"1",0.2048,0.0781,0.0517,0.3579,2.6213,0.0088,NA,"t3_ratio_il12_il4","diar7d_t3"
"0",0.1209,0.079,-0.0339,0.2757,1.5305,0.1259,0.00121748614212403,"t3_ratio_il12_il4","fever7d_t2"
"1",0.1684,0.085,0.0018,0.3349,1.9816,0.0475,NA,"t3_ratio_il12_il4","fever7d_t2"
"0",0.1713,0.0783,0.0179,0.3246,2.1882,0.0287,0.000687943103062887,"t3_ratio_il12_il4","fever7d_t3"
"1",0.2177,0.0826,0.0558,0.3796,2.6355,0.0084,NA,"t3_ratio_il12_il4","fever7d_t3"
"0",0.1757,0.078,0.0228,0.3286,2.2523,0.0243,0.223262736055351,"t3_ratio_il12_il4","ch_pos_giardia"
"1",0.0284,0.1046,-0.1765,0.2333,0.2718,0.7858,NA,"t3_ratio_il12_il4","ch_pos_giardia"
"0",0.138,0.0722,-0.0034,0.2794,1.9125,0.0558,0.227042551893085,"t3_ratio_il12_il4","ch_pos_entamoeba"
"1",0.1851,0.0769,0.0343,0.3358,2.4064,0.0161,NA,"t3_ratio_il12_il4","ch_pos_entamoeba"
"0",0.1422,0.073,-0.0008,0.2853,1.9489,0.0513,0.230387495605408,"t3_ratio_il12_il4","ch_pos_crypto"
"1",-0.205,0.1174,-0.4351,0.0251,-1.746,0.0808,NA,"t3_ratio_il12_il4","ch_pos_crypto"
"0",0.0559,0.0584,-0.0585,0.1703,0.9583,0.3379,0.0181798150480552,"t3_ratio_il12_il4","ch_qpcr_pos_trichuris"
"1",-0.0944,0.0955,-0.2816,0.0929,-0.9877,0.3233,NA,"t3_ratio_il12_il4","ch_qpcr_pos_trichuris"
"0",0.0516,0.0579,-0.0618,0.1651,0.8918,0.3725,0.0133891760386258,"t3_ratio_il12_il4","ch_qpcr_pos_ascaris"
"1",-0.0927,0.0961,-0.2811,0.0957,-0.9643,0.3349,NA,"t3_ratio_il12_il4","ch_qpcr_pos_ascaris"
"0",0.0208,0.0739,-0.124,0.1657,0.2816,0.7783,0.0704564524512457,"t3_ratio_ifn_il4","diar7d_t2"
"1",0.0601,0.0758,-0.0885,0.2086,0.7926,0.428,NA,"t3_ratio_ifn_il4","diar7d_t2"
"0",0.0983,0.0772,-0.0531,0.2497,1.2729,0.203,0.0968551039402488,"t3_ratio_ifn_il4","diar7d_t3"
"1",0.1397,0.0831,-0.0231,0.3026,1.6818,0.0926,NA,"t3_ratio_ifn_il4","diar7d_t3"
"0",0.0204,0.0799,-0.1363,0.1771,0.255,0.7987,0.0722495922504136,"t3_ratio_ifn_il4","fever7d_t2"
"1",0.0638,0.085,-0.1028,0.2303,0.7507,0.4528,NA,"t3_ratio_ifn_il4","fever7d_t2"
"0",0.0848,0.0809,-0.0737,0.2433,1.0487,0.2943,0.0530764625261081,"t3_ratio_ifn_il4","fever7d_t3"
"1",0.1246,0.0854,-0.0429,0.292,1.4578,0.1449,NA,"t3_ratio_ifn_il4","fever7d_t3"
"0",0.1492,0.0842,-0.0158,0.3142,1.7726,0.0763,0.397757958469665,"t3_ratio_ifn_il4","ch_pos_giardia"
"1",-0.0822,0.1091,-0.2959,0.1316,-0.7536,0.4511,NA,"t3_ratio_ifn_il4","ch_pos_giardia"
"0",0.087,0.0789,-0.0677,0.2417,1.1027,0.2702,0.329151370817314,"t3_ratio_ifn_il4","ch_pos_entamoeba"
"1",0.1294,0.083,-0.0332,0.292,1.5601,0.1187,NA,"t3_ratio_ifn_il4","ch_pos_entamoeba"
"0",0.0953,0.0798,-0.0611,0.2517,1.1948,0.2322,0.333280813673018,"t3_ratio_ifn_il4","ch_pos_crypto"
"1",-0.4972,0.3011,-1.0874,0.093,-1.6513,0.0987,NA,"t3_ratio_ifn_il4","ch_pos_crypto"
"0",0.0425,0.0646,-0.0841,0.1691,0.6578,0.5107,0.343857994389782,"t3_ratio_ifn_il4","ch_qpcr_pos_trichuris"
"1",0.2223,0.0832,0.0593,0.3853,2.6737,0.0075,NA,"t3_ratio_ifn_il4","ch_qpcr_pos_trichuris"
"0",0.04,0.0643,-0.0859,0.166,0.6228,0.5334,0.280888698463766,"t3_ratio_ifn_il4","ch_qpcr_pos_ascaris"
"1",0.2198,0.0825,0.0582,0.3815,2.6657,0.0077,NA,"t3_ratio_ifn_il4","ch_qpcr_pos_ascaris"
"0",0.0711,0.1209,-0.1659,0.3081,0.5881,0.5565,0.0381072937829063,"t3_ratio_il12_il5","diar7d_t2"
"1",0.0753,0.1233,-0.1663,0.3169,0.6111,0.5411,NA,"t3_ratio_il12_il5","diar7d_t2"
"0",0.0276,0.1112,-0.1903,0.2455,0.248,0.8041,0.0368867345993932,"t3_ratio_il12_il5","diar7d_t3"
"1",0.0315,0.1132,-0.1903,0.2534,0.2787,0.7805,NA,"t3_ratio_il12_il5","diar7d_t3"
"0",-0.0115,0.1167,-0.2402,0.2172,-0.0983,0.9217,0.0359114607199204,"t3_ratio_il12_il5","fever7d_t2"
"1",-0.0081,0.1187,-0.2408,0.2245,-0.0685,0.9454,NA,"t3_ratio_il12_il5","fever7d_t2"
"0",0.0325,0.1191,-0.201,0.2659,0.2726,0.7852,0.0436253911282739,"t3_ratio_il12_il5","fever7d_t3"
"1",0.0367,0.1209,-0.2004,0.2737,0.3031,0.7618,NA,"t3_ratio_il12_il5","fever7d_t3"
"0",0.0497,0.1389,-0.2225,0.3219,0.3581,0.7203,0.528630909942826,"t3_ratio_il12_il5","ch_pos_giardia"
"1",-0.087,0.1128,-0.3081,0.1342,-0.7709,0.4408,NA,"t3_ratio_il12_il5","ch_pos_giardia"
"0",0.014,0.1094,-0.2003,0.2284,0.1284,0.8978,0.426552723678652,"t3_ratio_il12_il5","ch_pos_entamoeba"
"1",0.0179,0.1115,-0.2007,0.2365,0.1605,0.8725,NA,"t3_ratio_il12_il5","ch_pos_entamoeba"
"0",0.0235,0.1105,-0.1931,0.2401,0.213,0.8313,0.436659029855712,"t3_ratio_il12_il5","ch_pos_crypto"
"1",-0.6493,0.1786,-0.9993,-0.2993,-3.6362,0.0003,NA,"t3_ratio_il12_il5","ch_pos_crypto"
"0",-0.1017,0.0832,-0.2647,0.0614,-1.2222,0.2216,0.0298706165635929,"t3_ratio_il12_il5","ch_qpcr_pos_trichuris"
"1",-0.067,0.1005,-0.2639,0.1299,-0.6668,0.5049,NA,"t3_ratio_il12_il5","ch_qpcr_pos_trichuris"
"0",-0.1001,0.0833,-0.2633,0.0631,-1.2018,0.2295,0.0779383279517238,"t3_ratio_il12_il5","ch_qpcr_pos_ascaris"
"1",-0.0579,0.1018,-0.2574,0.1416,-0.5685,0.5697,NA,"t3_ratio_il12_il5","ch_qpcr_pos_ascaris"
"0",-0.0539,0.1233,-0.2956,0.1877,-0.4375,0.6618,0.118196180478764,"t3_ratio_ifn_il5","diar7d_t2"
"1",-0.0528,0.1253,-0.2984,0.1928,-0.4213,0.6735,NA,"t3_ratio_ifn_il5","diar7d_t2"
"0",-0.0625,0.1075,-0.2732,0.1482,-0.5815,0.5609,0.110540005379193,"t3_ratio_ifn_il5","diar7d_t3"
"1",-0.0616,0.1097,-0.2767,0.1535,-0.5614,0.5745,NA,"t3_ratio_ifn_il5","diar7d_t3"
"0",-0.1366,0.1172,-0.3663,0.0931,-1.1658,0.2437,0.0918780172022135,"t3_ratio_ifn_il5","fever7d_t2"
"1",-0.1359,0.1193,-0.3698,0.098,-1.1391,0.2547,NA,"t3_ratio_ifn_il5","fever7d_t2"
"0",-0.0934,0.1143,-0.3174,0.1306,-0.8173,0.4138,0.110307532245791,"t3_ratio_ifn_il5","fever7d_t3"
"1",-0.0917,0.1164,-0.3198,0.1364,-0.7883,0.4306,NA,"t3_ratio_ifn_il5","fever7d_t3"
"0",-0.0271,0.133,-0.2879,0.2336,-0.2041,0.8383,0.913361828818124,"t3_ratio_ifn_il5","ch_pos_giardia"
"1",-0.1948,0.1115,-0.4134,0.0238,-1.7467,0.0807,NA,"t3_ratio_ifn_il5","ch_pos_giardia"
"0",-0.0721,0.1085,-0.2848,0.1406,-0.6645,0.5064,0.858736996272586,"t3_ratio_ifn_il5","ch_pos_entamoeba"
"1",-0.0709,0.1106,-0.2877,0.1458,-0.6415,0.5212,NA,"t3_ratio_ifn_il5","ch_pos_entamoeba"
"0",-0.0584,0.109,-0.272,0.1552,-0.5361,0.5919,0.864581130106428,"t3_ratio_ifn_il5","ch_pos_crypto"
"1",-1.013,0.3315,-1.6627,-0.3633,-3.0559,0.0022,NA,"t3_ratio_ifn_il5","ch_pos_crypto"
"0",-0.1268,0.091,-0.3051,0.0515,-1.3935,0.1635,0.168733633290322,"t3_ratio_ifn_il5","ch_qpcr_pos_trichuris"
