"","type","est","ci.lb","ci.ub","pval","Y","Z"
"45","TE",0.926,-0.0902814093675252,0.0840439633015947,0.926,"ch_pos_giardia","t2_ratio_il12_il10"
"46","ACME",0.000711515259786194,-0.0142284522478718,0.0152763949751592,0.942,"ch_pos_giardia","t2_ratio_il12_il10"
"47","ADE",-0.00650631231778732,-0.0914816589512618,0.0875757074271785,0.914,"ch_pos_giardia","t2_ratio_il12_il10"
"48","Prop",-0.124724444166713,-1.83147422400739,1.75668376722303,0.972,"ch_pos_giardia","t2_ratio_il12_il10"
"49","TE",0.548,-0.126341370165305,0.064391766600025,0.548,"any_pathogen","t2_ratio_il12_il4"
"50","ACME",-0.0100205949979935,-0.0302835257914699,0.00607001264033986,0.212,"any_pathogen","t2_ratio_il12_il4"
"51","ADE",-0.0231726559153483,-0.116459827541264,0.0724527264410355,0.68,"any_pathogen","t2_ratio_il12_il4"
"52","Prop",0.30312815550772,-3.38387547726098,2.43796996542037,0.664,"any_pathogen","t2_ratio_il12_il4"
"53","TE",0.374,-0.128475265201666,0.0491338575045384,0.374,"ch_pos_ascaris","t2_ratio_il12_il4"
"54","ACME",-0.0169175962350627,-0.0395259077430714,-0.00264887725783685,0.014,"ch_pos_ascaris","t2_ratio_il12_il4"
"55","ADE",-0.0222722649065434,-0.113367420182046,0.0687283808948832,0.644,"ch_pos_ascaris","t2_ratio_il12_il4"
"56","Prop",0.453752748174641,-3.01236729069911,5.10382060958547,0.38,"ch_pos_ascaris","t2_ratio_il12_il4"
"57","TE",0.31,-0.022543387991693,0.0648939333670272,0.31,"ch_pos_trichuris","t2_ratio_il12_il4"
"58","ACME",-0.00201963061742409,-0.0170777685134464,0.00465618430059821,0.626,"ch_pos_trichuris","t2_ratio_il12_il4"
"59","ADE",0.0247814571585045,-0.0203841922170154,0.0686408130819462,0.248,"ch_pos_trichuris","t2_ratio_il12_il4"
"60","Prop",-0.0571380742677017,-1.8134999422875,1.70377353531184,0.796,"ch_pos_trichuris","t2_ratio_il12_il4"
"61","TE",0.844,-0.0999086078596849,0.0723309421324573,0.844,"ch_pos_giardia","t2_ratio_il12_il4"
